variant_test_data,cal_test,class,statistic,p_value
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,binom_p,1.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9999999966998784
_contrast_histeq,dv3T-cal_dv3T-test,0,median_p,0.5035223772868428
_contrast_histeq,dv3T-cal_dv3T-test,0,q25_p,0.344942089383176
_contrast_histeq,dv3T-cal_dv3T-test,0,q75_p,0.6316463427094575
_contrast_histeq,dv3T-cal_dv3T-test,0,prop_sig,0.0
_contrast_histeq,dv3T-cal_dv3T-test,0,binom_p,1.0
_contrast_histeq,dv3T-cal_dv3T-test,0,fisher_p,0.9932350326232094
_contrast_histeq,dv3T-cal_dv3T-test,1,median_p,0.5123808215322094
_contrast_histeq,dv3T-cal_dv3T-test,1,q25_p,0.3071566525620242
_contrast_histeq,dv3T-cal_dv3T-test,1,q75_p,0.7106697191488915
_contrast_histeq,dv3T-cal_dv3T-test,1,prop_sig,0.0
_contrast_histeq,dv3T-cal_dv3T-test,1,binom_p,1.0
_contrast_histeq,dv3T-cal_dv3T-test,1,fisher_p,0.9368769578786532
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,median_p,0.2223986887209167
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,q25_p,0.1391568336735633
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,q75_p,0.2822047048577784
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,prop_sig,0.01
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,binom_p,0.994079470779666
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,fisher_p,1.2097480128758777e-08
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,median_p,0.003444752637963
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,q25_p,0.0006670154323698
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,q75_p,0.0095956509304701
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,prop_sig,0.96
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,binom_p,4.0399843007513144e-119
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv3T-test,0,median_p,0.0848233030087518
_contrast_imadjust,baseline3T-cal_dv3T-test,0,q25_p,0.0321607040179139
_contrast_imadjust,baseline3T-cal_dv3T-test,0,q75_p,0.13138410254782
_contrast_imadjust,baseline3T-cal_dv3T-test,0,prop_sig,0.34
_contrast_imadjust,baseline3T-cal_dv3T-test,0,binom_p,1.2702149390600738e-19
_contrast_imadjust,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv3T-test,1,median_p,0.903640064544364
_contrast_imadjust,baseline3T-cal_dv3T-test,1,q25_p,0.6922838221236653
_contrast_imadjust,baseline3T-cal_dv3T-test,1,q75_p,0.986430460772715
_contrast_imadjust,baseline3T-cal_dv3T-test,1,prop_sig,0.0
_contrast_imadjust,baseline3T-cal_dv3T-test,1,binom_p,1.0
_contrast_imadjust,baseline3T-cal_dv3T-test,1,fisher_p,1.0
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,median_p,0.5085281187119821
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,q25_p,0.3289392166750668
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6880901096653511
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.02
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,binom_p,0.962918790672645
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.9198580658989424
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,median_p,0.6726886687524742
