variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,97,0,12472,15179,0.8216615060280651,1333,15179,6.745725281900083e-15
_blurred_SD1,baseline3T-cal_dv1.5T-test,97,1,452,1161,0.38931955211024977,473,1161,3.3935943463505515e-88
_blurred_SD1,baseline3T-cal_dv1.5T-test,98,0,12120,15179,0.7984715725673628,1462,15179,4.3452843007821225e-24
_blurred_SD1,baseline3T-cal_dv1.5T-test,98,1,403,1161,0.347114556416882,344,1161,3.444264629211052e-80
_blurred_SD1,baseline3T-cal_dv1.5T-test,99,0,13400,15265,0.8778250900753357,1677,15265,0.003294789443428399
_blurred_SD1,baseline3T-cal_dv1.5T-test,99,1,379,1075,0.35255813953488374,129,1075,1.5548012807715603e-35
_blurred_SD1,baseline3T-cal_dv3T-test,0,0,3374,3698,0.9123850730124392,1505,3698,0.9217903593072192
_blurred_SD1,baseline3T-cal_dv3T-test,0,1,352,602,0.584717607973422,301,602,1.1228308048308366e-24
_blurred_SD1,baseline3T-cal_dv3T-test,1,0,3298,3655,0.9023255813953488,1548,3655,0.6012242876146713
_blurred_SD1,baseline3T-cal_dv3T-test,1,1,610,645,0.9457364341085271,258,645,0.991824816549582
_blurred_SD1,baseline3T-cal_dv3T-test,2,0,3176,3612,0.8792912513842747,1591,3612,0.016181547109208737
_blurred_SD1,baseline3T-cal_dv3T-test,2,1,548,688,0.7965116279069767,215,688,0.00015816316806572836
_blurred_SD1,baseline3T-cal_dv3T-test,3,0,3167,3741,0.8465650895482492,1462,3741,1.5271124219423257e-07
_blurred_SD1,baseline3T-cal_dv3T-test,3,1,489,559,0.8747763864042933,344,559,0.13556747447017578
_blurred_SD1,baseline3T-cal_dv3T-test,4,0,2847,3569,0.7977024376576072,1634,3569,1.5348094486249778e-21
_blurred_SD1,baseline3T-cal_dv3T-test,4,1,647,731,0.8850889192886456,172,731,0.32639948308251043
_blurred_SD1,baseline3T-cal_dv3T-test,5,0,2776,3655,0.7595075239398085,1548,3655,1.1621035833145642e-34
_blurred_SD1,baseline3T-cal_dv3T-test,5,1,572,645,0.8868217054263566,258,645,0.2799272586561769
_blurred_SD1,baseline3T-cal_dv3T-test,6,0,2770,3569,0.7761277668814794,1634,3569,3.626710804545221e-29
_blurred_SD1,baseline3T-cal_dv3T-test,6,1,691,731,0.945280437756498,172,731,0.9864790782334945
_blurred_SD1,baseline3T-cal_dv3T-test,7,0,3180,3569,0.8910058840011208,1634,3569,0.16966169855200103
_blurred_SD1,baseline3T-cal_dv3T-test,7,1,713,731,0.9753761969904241,172,731,0.9999892206683008
_blurred_SD1,baseline3T-cal_dv3T-test,8,0,3147,3655,0.8610123119015047,1548,3655,4.117278184082177e-05
_blurred_SD1,baseline3T-cal_dv3T-test,8,1,547,645,0.8480620155038759,258,645,0.017208132078003
_blurred_SD1,baseline3T-cal_dv3T-test,9,0,3141,3655,0.8593707250341998,1548,3655,2.153101614521182e-05
_blurred_SD1,baseline3T-cal_dv3T-test,9,1,491,645,0.7612403100775194,258,645,3.077118931154189e-07
_blurred_SD1,baseline3T-cal_dv3T-test,10,0,2929,3655,0.8013679890560875,1548,3655,7.679976175607586e-20
_blurred_SD1,baseline3T-cal_dv3T-test,10,1,610,645,0.9457364341085271,258,645,0.991824816549582
_blurred_SD1,baseline3T-cal_dv3T-test,11,0,3142,3655,0.8596443228454173,1548,3655,2.401871646754602e-05
_blurred_SD1,baseline3T-cal_dv3T-test,11,1,630,645,0.9767441860465116,258,645,0.9999989617832992
