variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,31,1,450,1118,0.40250447227191416,9,26,0.0002941928809944615
_blurred_SD1,baseline3T-cal_dv1.5T-test,32,0,13452,15308,0.8787562059054089,38,356,0.30797086166638316
_blurred_SD1,baseline3T-cal_dv1.5T-test,32,1,460,1032,0.44573643410852715,4,24,0.03995037930522236
_blurred_SD1,baseline3T-cal_dv1.5T-test,33,0,13657,15222,0.8971882801208777,35,354,0.5088485486106074
_blurred_SD1,baseline3T-cal_dv1.5T-test,33,1,456,1118,0.407871198568873,7,26,0.0019468429490899193
_blurred_SD1,baseline3T-cal_dv1.5T-test,34,0,13023,15222,0.8555380370516358,35,354,0.23574056505218077
_blurred_SD1,baseline3T-cal_dv1.5T-test,34,1,387,1118,0.34615384615384615,7,26,0.000624097383619296
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,0,13459,15222,0.884180790960452,35,354,0.4107637851289565
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,1,454,1118,0.40608228980322003,7,26,0.0018883573863154224
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,0,12592,15222,0.8272237550913152,37,354,0.09753203884261043
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,1,415,1118,0.37119856887298747,5,26,0.0072084625375389635
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,0,12810,15308,0.836817350405017,37,356,0.12539865991026164
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,1,376,1032,0.3643410852713178,5,24,0.006583869444971535
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,0,13257,15308,0.8660177684870656,35,356,0.2925039696579798
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,1,472,1032,0.4573643410852713,7,24,0.004322243311156656
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,0,13364,15222,0.8779398239390356,39,354,0.28305356888223115
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,1,553,1118,0.49463327370304117,3,26,0.12168129347762999
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,0,12592,15179,0.8295671651623954,34,353,0.14585217078587764
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,1,344,1161,0.2962962962962963,8,27,6.389334936962249e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,41,0,13477,15222,0.8853632899750361,38,354,0.3528274320134672
_blurred_SD1,baseline3T-cal_dv1.5T-test,41,1,434,1118,0.3881932021466905,4,26,0.023029510924075205
_blurred_SD1,baseline3T-cal_dv1.5T-test,42,0,13470,15308,0.8799320616671021,37,356,0.3365129027539008
_blurred_SD1,baseline3T-cal_dv1.5T-test,42,1,367,1032,0.3556201550387597,5,24,0.005838389117662952
_blurred_SD1,baseline3T-cal_dv1.5T-test,43,0,12658,15222,0.8315595848114571,37,354,0.10940932318555556
